Funnel 17 92 -1
Cylinder 141 220 -1
Bell 284 385 -1
Bell 409 501 -1
Funnel 541 609 -1
Cylinder 656 708 -1
Funnel 795 887 -1
Funnel 922 983 -1
Bell 1047 1141 -1
Funnel 1180 1234 -1
Funnel 1305 1379 -1
Bell 1426 1528 -1
Funnel 1564 1657 -1
Funnel 1692 1752 -1
Bell 1805 1902 -1
Funnel 1937 1999 -1
Cylinder 2072 2137 -1
Cylinder 2197 2273 -1
Cylinder 2326 2384 -1
Cylinder 2460 2541 -1
Funnel 2578 2646 -1
Funnel 2713 2796 -1
Cylinder 2835 2908 -1
Funnel 2969 3045 -1
Cylinder 3096 3160 -1
Bell 3229 3300 -1
Cylinder 3355 3425 -1
Funnel 3475 3517 -1
Cylinder 3608 3651 -1
Funnel 3726 3787 -1
Cylinder 3862 3917 -1
Bell 3986 4086 -1
Funnel 4120 4209 -1
Cylinder 4245 4304 -1
Funnel 4374 4431 -1
Cylinder 4498 4543 -1
Bell 4629 4716 -1
Funnel 4752 4826 -1
Bell 4885 4977 -1
Cylinder 5015 5061 -1
Bell 5145 5191 -1
Cylinder 5271 5318 -1
Funnel 5397 5472 -1
Cylinder 5529 5595 -1
Cylinder 5651 5733 -1
Bell 5775 5843 -1
Bell 5916 5959 -1
Funnel 6032 6118 -1
Funnel 6165 6238 -1
Bell 6298 6363 -1
Funnel 6426 6511 -1
Bell 6549 6650 -1
Bell 6677 6752 -1
Funnel 6810 6872 -1
Cylinder 6938 7024 -1
Funnel 7065 7167 -1
Funnel 7192 7259 -1
Bell 7315 7368 -1
Funnel 7452 7544 -1
Cylinder 7577 7642 -1
Funnel 7695 7784 -1
Bell 7823 7901 -1
Cylinder 7949 8036 -1
Funnel 8077 8174 -1
Funnel 8210 8274 -1
Bell 8339 8410 -1
Bell 8469 8559 -1
Cylinder 8595 8687 -1
Cylinder 8718 8772 -1
Funnel 8858 8940 -1
Cylinder 8985 9088 -1
Bell 9111 9162 -1
Funnel 9234 9332 -1
Funnel 9366 9466 -1
Funnel 9494 9552 -1
Cylinder 9614 9693 -1
Bell 9753 9801 -1
Cylinder 9872 9912 -1
Funnel 10000 10069 -1
Funnel 10127 10182 -1
Cylinder 10263 10344 -1
Cylinder 10396 10452 -1
Cylinder 10520 10606 -1
Funnel 10638 10733 -1
Funnel 10770 10857 -1
Bell 10899 10939 -1
Cylinder 11031 11103 -1
Funnel 11165 11237 -1
Cylinder 11289 11386 -1
Bell 11415 11465 -1
Cylinder 11533 11586 -1
Cylinder 11669 11710 -1
Funnel 11803 11879 -1
Funnel 11921 11987 -1
Cylinder 12054 12098 -1
Bell 12175 12221 -1
Funnel 12314 12373 -1
Funnel 12439 12497 -1
Funnel 12572 12638 -1
Bell 12698 12757 -1
Cylinder 12820 12897 -1
Funnel 12954 13055 -1
Funnel 13073 13147 -1
Funnel 13211 13314 -1
Funnel 13332 13429 -1
Funnel 13466 13517 -1
Bell 13585 13624 -1
Cylinder 13722 13787 -1
Funnel 13845 13898 -1
Bell 13971 14064 -1
Cylinder 14105 14183 -1
Funnel 14229 14291 -1
Cylinder 14360 14456 -1
Bell 14486 14578 -1
Funnel 14618 14686 -1
Bell 14733 14829 -1
Bell 14866 14922 -1
Funnel 14999 15087 -1
Funnel 15127 15179 -1
Funnel 15245 15294 -1
Funnel 15384 15468 -1
Bell 15508 15569 -1
Bell 15637 15683 -1
Cylinder 15764 15863 -1
Funnel 15896 15961 -1
Funnel 16020 16091 -1
Bell 16146 16217 -1
Bell 16280 16376 -1
