1 340 519 -1
1 587 766 -1
1 828 1007 -1
1 1181 1360 -1
1 1656 1835 -1
1 1927 2106 -1
1 2219 2398 -1
1 2950 3129 -1
1 3552 3731 -1
1 4014 4193 -1
1 4853 5032 -1
1 5368 5547 -1
1 6214 6393 -1
1 6678 6857 -1
1 7026 7205 -1
1 7903 8082 -1
1 8164 8343 -1
1 8706 8885 -1
1 9455 9634 -1
1 10217 10396 -1
1 10505 10684 -1
1 10879 11058 -1
1 11395 11574 -1
1 11945 12124 -1
1 12728 12907 -1
1 13212 13391 -1
1 13906 14085 -1
1 14611 14790 -1
1 15400 15579 -1
1 16101 16280 -1
1 16719 16898 -1
1 17417 17596 -1
1 17672 17851 -1
1 18155 18334 -1
1 18835 19014 -1
1 19513 19692 -1
1 20338 20517 -1
1 21001 21180 -1
1 21470 21649 -1
1 22099 22278 -1
1 22577 22756 -1
1 23172 23351 -1
1 23793 23972 -1
1 24209 24388 -1
1 24478 24657 -1
1 25269 25448 -1
1 25806 25985 -1
1 26621 26800 -1
1 26978 27157 -1
1 27393 27572 -1
1 28261 28440 -1
1 28917 29096 -1
1 29365 29544 -1
1 29942 30121 -1
1 30180 30359 -1
1 30684 30863 -1
1 31205 31384 -1
1 32093 32272 -1
1 32394 32573 -1
1 33023 33202 -1
1 33789 33968 -1
1 34620 34799 -1
1 34958 35137 -1
1 35220 35399 -1
1 35483 35662 -1
1 35871 36050 -1
1 36500 36679 -1
1 37365 37544 -1
1 37607 37786 -1
1 37920 38099 -1
1 38381 38560 -1
1 38688 38867 -1
1 39269 39448 -1
1 39810 39989 -1
1 40550 40729 -1
1 41349 41528 -1
1 41624 41803 -1
1 42198 42377 -1
1 42805 42984 -1
1 43243 43422 -1
1 43651 43830 -1
1 44358 44537 -1
1 44960 45139 -1
1 45742 45921 -1
1 46025 46204 -1
1 46924 47103 -1
1 47822 48001 -1
1 48619 48798 -1
1 49110 49289 -1
1 49710 49889 -1
1 49989 50168 -1
1 50427 50606 -1
1 51195 51374 -1
1 51787 51966 -1
1 52321 52500 -1
1 53022 53201 -1
1 53676 53855 -1
1 53965 54144 -1
1 54758 54937 -1
1 55495 55674 -1
